date,wage_nominal_uah,employed_mln,budget_revenue_bln_uah,pit_bln_uah
2005-01-01,726.36,20.085,22.481,2.898
2005-02-01,733.76,20.006,23.626,3.192
2005-03-01,796.41,20.043,27.015,3.599
2005-04-01,850.58,20.044,32.715,4.091
2005-05-01,890.85,20.008,32.708,4.364
2005-06-01,857.63,19.855,32.145,3.854
2005-07-01,908.82,19.861,32.782,4.851
2005-08-01,942.59,19.931,32.080,4.472
2005-09-01,952.40,19.866,30.426,4.726
2005-10-01,871.75,19.828,27.523,3.844
2005-11-01,877.82,19.890,26.643,3.715
2005-12-01,854.53,19.825,25.698,3.355
2006-01-01,927.06,19.793,28.584,3.996
2006-02-01,988.56,19.823,31.343,4.459
2006-03-01,1011.00,19.892,33.458,4.787
2006-04-01,1029.01,19.880,35.066,4.760
2006-05-01,1098.71,19.834,37.933,5.219
2006-06-01,1127.32,19.786,40.787,5.329
2006-07-01,1147.08,19.763,40.997,5.876
2006-08-01,1165.15,19.771,40.796,5.877
2006-09-01,1203.30,19.769,41.913,6.257
2006-10-01,1225.16,19.738,42.018,6.220
2006-11-01,1195.69,19.758,40.624,5.913
2006-12-01,1250.90,19.788,44.005,6.432
2007-01-01,1296.01,19.716,44.211,6.214
2007-02-01,1370.19,19.756,47.520,7.254
2007-03-01,1391.71,19.771,51.347,7.329
2007-04-01,1368.14,19.752,50.952,7.280
2007-05-01,1461.49,19.714,58.945,7.665
2007-06-01,1520.95,19.691,60.651,8.388
2007-07-01,1555.07,19.638,62.484,8.630
2007-08-01,1607.06,19.675,60.290,9.319
2007-09-01,1607.58,19.683,60.664,9.317
2007-10-01,1550.46,19.651,59.274,8.614
2007-11-01,1629.92,19.678,60.321,9.438
2007-12-01,1630.70,19.664,59.709,9.294
2008-01-01,1660.72,19.595,64.318,9.168
2008-02-01,1709.39,19.598,68.409,10.147
2008-03-01,1746.06,19.633,72.956,10.613
2008-04-01,1804.51,19.640,77.180,11.352
2008-05-01,1839.77,19.629,80.052,11.831
2008-06-01,1895.77,19.610,81.500,12.198
2008-07-01,1930.82,19.608,82.642,13.085
2008-08-01,1947.25,19.599,83.576,12.974
2008-09-01,1970.77,19.597,81.980,13.529
2008-10-01,1914.24,19.574,80.239,13.258
2008-11-01,1914.76,19.573,79.055,12.727
2008-12-01,1911.42,19.547,78.299,12.836
2009-01-01,1820.45,19.479,74.419,11.793
2009-02-01,1852.59,19.487,72.279,12.476
2009-03-01,1900.05,19.469,72.685,13.065
2009-04-01,1900.31,19.451,73.889,12.829
2009-05-01,1907.13,19.457,73.045,13.148
2009-06-01,1935.72,19.418,72.099,12.778
2009-07-01,1916.48,19.369,70.257,12.689
2009-08-01,1935.77,19.350,69.823,13.518
2009-09-01,1964.96,19.346,69.816,13.255
2009-10-01,1929.91,19.338,69.170,12.572
2009-11-01,1938.38,19.298,67.871,12.947
2009-12-01,1972.77,19.290,72.063,13.393
2010-01-01,1894.65,19.261,73.755,12.516
2010-02-01,1980.77,19.211,78.663,14.382
2010-03-01,1986.93,19.217,79.758,14.100
2010-04-01,2075.83,19.182,88.012,14.847
2010-05-01,2147.09,19.145,88.155,15.931
2010-06-01,2201.67,19.124,91.257,17.243
2010-07-01,2202.00,19.084,92.574,16.951
2010-08-01,2272.84,19.076,93.618,18.212
2010-09-01,2278.76,19.059,93.946,18.134
2010-10-01,2205.82,19.034,87.798,17.111
2010-11-01,2307.82,19.007,93.710,18.844
2010-12-01,2325.15,18.966,94.769,18.723
2011-01-01,2310.06,18.921,103.822,18.221
2011-02-01,2393.19,18.905,114.740,19.930
2011-03-01,2426.64,18.907,115.373,20.240
2011-04-01,2557.91,18.885,119.016,22.556
2011-05-01,2635.90,18.854,122.954,23.199
2011-06-01,2709.60,18.824,127.994,24.164
